NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,13,7,21,0.1615402,1
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,3,27,27,27,1,2,11,13,7,21,0.2045968,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.3037834,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.402055,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.500065,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.6027469,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.7022302,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.8043544,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,0.9011164,1
0,1,2,2,0,4.507551,8.3085,0.3085001,15,3,3,27,27,27,1,2,11,13,7,21,1.005336,1
0,1,2,1,0,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.132926,1
0,1,2,1,0,5.507551,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.201567,1
0,1,2,1,0,6.007553,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.301487,1
0,1,2,1,0,6.507555,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.400704,1
0,1,2,1,0,7.007556,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.500457,1
0,1,2,1,0,7.507559,0.3085001,0.3075551,15,3,3,27,27,27,0,2,11,13,7,21,1.601623,1
0,1,2,2,0,8.007561,0.3085001,0.3085001,15,3,3,27,27,27,0,2,11,13,7,21,1.704282,1
